",""text"""
"420,""tampilan menu mudah digunakan"""
"421,""tidak"""
"422,""terbaik pokoknya buatku love shopee """
"423,""terima kasih shopee"""
"424,""terimakasih shopee"""
"425,"" ketemu penjual jualan merch bts suruh official kasihan udah mahal mahal nabung merch unofficial makasih"""
"426,"" penarikan dana acc cepat rek bni"""
"427,""bagus"""
"428,""bagus bgt"""
"429,""bagus dah recommended bgt """
"430,""aplikasi belanja online yahudd no tipu plus costumer service yang cepat tanggapin keluhan costumer thanks shopee"""
"431,""aplikasi berat game event penting  voucher sulit  berkomunikasi pihak expedisi """
"432,""aplikasi petipu orang beli tisu cuman lembar petipu """
"433,"" aplikasi sangan membantu kebutuhan sehari """
"434,""aplikasi yang oke banget belanja online """
"435,""aplikasinya bagus koneksi terputus g digalaxy a """
"436,""aplikasinya bagus membantu"""
"437,""app bagus """
"438,"" aqu syukaaa brlanja d shopeee pengiriman y cepat aqu tidak perlu menunggu deh """
"439,""bagus"""
"440,""bagus"""
"441,""bagus baik"""
"442,""bagus bangat pengiriman cepat suka h"""
"443,""bagus """
"444,""bagus """
"445,""bagus mantaff sippp"""
"446,""bagus"""
"447,""baguuus lag"""
"448,""baik"""
"449,""bantu promosikan akun shopee beri bintang """
"450,""banyakin promo ongkir """
"451,""belanja shope murah bagus barang ya"""
"452,""belanja jadi mudah pake shopee gratis ongkir diskon """
"453,""belanja mudah cepat transaksi nya"""
"454,""belanja mudah cepat"""
"455,""belanja tidak pakai rumit pelanggan tinggal filter barang pilih harga star penjual klo cocok just klik """
"456,""belanja online enak diskonnya"""
"457,""beli apapun harga murah ga murahan mantaaapp"""
"458,""best"""
"459,""belanja shopee bikin praktis hemat waktu jg biaya barang y ori g bikin kecewa harganya terjangkau tp pintar memilih toko barangnya biar g ketipu jg kecewa dgn barang yang beli """
"460,""cara masuk akun shopee pakai fb rumit pake verifikasi otg no telepon emang tau nomor """
"461,""cepat barang sesuai"""
"462,""cepat pengiriman"""
"463,""deitra """
"464,""diupdate tidak bener ni si maunya checkout gagal checkout gagal kampang"""
"465,"" app nya jadi lambat"""
"466,""gamesnya kaya yang dimainin shopee"""
"467,""gift donk """
"468,""gila saldo sopphie pay colong orang  balikin saldo rb """
"469,""gk masuk gangn terus padahak cuman ganti akun aj susah """
"470,""gratis ongkir ny gbisa dipakai pdhl dah pas saldo shopeepay ny halah gblk """
"471,""gratis ongkir bagus"""
"472,""gw ditipu beli hp hari dh rusak aplikasi petipu"""
"473,""harga murah membantu mencari barang pengiriman aman baik pokoknya best bgt"""
"474,""jossss"""
"475,""jual beli shopy"""
"476,"" loadiiiiiing """
"477,"" mbnya besar hpnya kentang gk download ni klo gni caranya"""
"478,"" yaa ko aplikasi a pesanan"""
"479,""kenapaa aq tgih shopeeplay trs pdahl bayar jga tdak bsa mengunakn shopee lgi aplikasi nya ngk bsa"""
"480,""kq tidak cod ya"""
"481,"" terjamin keasliannya """
"482,""lambat bgt ongkir mahal emang murah k k ongkir murah toko sebelah toko sebelah ongkir tidak sampe k tempat yang ongkir shoope k"""
"483,""lumayan"""
"484,""lumayan barang mumer bagus terima kasih shoope masukkan shoope  menyeleksi penjual nakal sy jadi korban akun dibobol sy kehilangan juta tp alhamdulillah shoope memberikan sy vocer juta rasa tanggung jawabnya penjual y """
"485,""luv bgt yang lg gabut dirumahaja mending belanja online wkwk"""
"486,""mantaaaap """
"487,""mantaaap"""
"488,""bagus aja sih"""
"489,""bagus balanja jadi mudah keluar rumah cmn rebahan aja wkwk"""
"490,""bagus banget belanja promo nya """
"491,""bagus banget komplit banget pembayaranya bs lewat cod shopee pay shopee pay letter bs membantu kbutuhan sehari dmasa pandemi """
"492,""bagus jiwa"""
"493,""bagus lahhhh"""
"494,""bagus oiiiiiii"""
"495,""baguspppp"""
"496,""mantepp dehh ehh ngajak bts bakal langganan dehh udah murah bagus """
"497,"" pedagang bodong lolos shopee ya penjual sepeda poligon waspadalah """
"498,"" mencari aja shopee salah satu yang bikin senang tuh u kedepannya semoga memberikan yang terbaik """
"499,""membantu banget yang kadang malas pergi belanja keluar rumah keadaan pandemi covid """
"500,""mempermudah"""
"501,""menu aplikasi layar kosong jaringan baik coba uninstal layar """
"502,""mudah gk perlu rumitt"""
"503,""murah promo gratis ongkir"""
"504,""murah mudah """
"505,""nice """
"506,""oke bangettttt suka vocher freeong cod nya """
